ts_recorded,ts_uploaded,obd_rpm,obd_speed,obd_engine_load
2025-05-29T12:09:13.000000Z,2025-05-29T12:12:22.835553Z,0,0,0
2025-05-29T12:09:15.000000Z,2025-05-29T12:12:23.310789Z,0,0,0
2025-05-29T12:09:25.000000Z,2025-05-29T12:12:23.807525Z,0,0,0
2025-05-29T12:09:34.000000Z,2025-05-29T12:12:24.198758Z,0,0,0
2025-05-29T12:10:04.000000Z,2025-05-29T12:12:24.652256Z,0,0,0
2025-05-29T12:10:54.000000Z,2025-05-29T12:12:25.147375Z,0,0,0
2025-05-29T12:15:55.000000Z,2025-05-29T12:16:04.966382Z,1030,54,49
2025-05-29T12:16:56.000000Z,2025-05-29T12:17:00.199159Z,1100,60,49
2025-05-29T12:16:57.000000Z,2025-05-29T12:17:01.834303Z,1100,60,49
2025-05-29T12:16:58.000000Z,2025-05-29T12:17:02.467653Z,1100,60,49
2025-05-29T12:16:59.000000Z,2025-05-29T12:17:03.415146Z,1100,60,49
2025-05-29T12:16:59.010000Z,2025-05-29T12:17:04.246687Z,1100,60,49
2025-05-29T12:17:00.000000Z,2025-05-29T12:17:05.012093Z,1100,60,49
2025-05-29T12:17:01.000000Z,2025-05-29T12:17:05.742552Z,1100,60,49
2025-05-29T12:17:02.000000Z,2025-05-29T12:17:06.413298Z,1100,60,49
2025-05-29T12:17:03.000000Z,2025-05-29T12:17:07.415064Z,1100,60,49
2025-05-29T12:17:04.000000Z,2025-05-29T12:17:07.904237Z,1100,60,49
2025-05-29T12:17:05.000000Z,2025-05-29T12:17:08.316437Z,1100,60,49
2025-05-29T12:17:06.000000Z,2025-05-29T12:17:08.773500Z,1100,60,49
2025-05-29T12:17:07.000000Z,2025-05-29T12:17:09.247680Z,1100,60,49
2025-05-29T12:17:08.000000Z,2025-05-29T12:17:09.766636Z,1100,60,49
2025-05-29T12:17:09.000000Z,2025-05-29T12:17:10.237852Z,1100,60,49
2025-05-29T12:17:10.000000Z,2025-05-29T12:17:11.411321Z,1100,60,49
2025-05-29T12:17:11.000000Z,2025-05-29T12:17:12.651302Z,1100,60,49
2025-05-29T12:17:12.000000Z,2025-05-29T12:17:13.415736Z,1100,60,49
2025-05-29T12:17:13.000000Z,2025-05-29T12:17:14.511976Z,1100,60,49
2025-05-29T12:17:14.000000Z,2025-05-29T12:17:17.990549Z,1100,60,49
2025-05-29T12:17:15.000000Z,2025-05-29T12:17:18.422517Z,1100,60,49
2025-05-29T12:17:16.000000Z,2025-05-29T12:17:19.058988Z,1100,60,49
2025-05-29T12:17:17.000000Z,2025-05-29T12:17:19.540160Z,1100,60,49
2025-05-29T12:17:18.000000Z,2025-05-29T12:17:20.016422Z,1100,60,49
2025-05-29T12:17:19.000000Z,2025-05-29T12:17:20.666386Z,1100,60,49
2025-05-29T12:17:20.000000Z,2025-05-29T12:17:21.486410Z,1100,60,49
2025-05-29T12:17:21.000000Z,2025-05-29T12:17:22.389078Z,1100,60,49
2025-05-29T12:17:22.000000Z,2025-05-29T12:17:23.847134Z,1100,60,49
2025-05-29T12:17:23.000000Z,2025-05-29T12:17:24.558323Z,1100,60,49
2025-05-29T12:17:24.000000Z,2025-05-29T12:17:25.198402Z,1100,60,49
2025-05-29T12:17:25.000000Z,2025-05-29T12:17:26.542222Z,1100,60,49
2025-05-29T12:17:26.000000Z,2025-05-29T12:17:27.545194Z,1100,60,49
2025-05-29T12:17:27.000000Z,2025-05-29T12:17:28.610806Z,1100,60,49
2025-05-29T12:17:28.000000Z,2025-05-29T12:17:29.279550Z,1100,60,49
2025-05-29T12:17:28.010000Z,2025-05-29T12:17:29.835855Z,1100,60,49
2025-05-29T12:17:29.000000Z,2025-05-29T12:17:30.252002Z,1100,60,49
2025-05-29T12:17:30.000000Z,2025-05-29T12:17:34.638387Z,1100,60,49
2025-05-29T12:17:31.000000Z,2025-05-29T12:17:35.115757Z,1100,60,49
2025-05-29T12:17:32.000000Z,2025-05-29T12:17:35.556360Z,1100,60,49
2025-05-29T12:17:33.000000Z,2025-05-29T12:17:36.076238Z,1100,60,49
2025-05-29T12:17:34.000000Z,2025-05-29T12:17:36.453999Z,1100,60,49
2025-05-29T12:17:35.000000Z,2025-05-29T12:17:37.525337Z,1100,60,49
2025-05-29T12:17:36.000000Z,2025-05-29T12:17:38.043881Z,1100,60,49
2025-05-29T12:17:37.000000Z,2025-05-29T12:17:38.640321Z,1100,60,49
2025-05-29T12:17:38.000000Z,2025-05-29T12:17:39.601915Z,1100,60,49
2025-05-29T12:17:39.000000Z,2025-05-29T12:17:40.249635Z,1100,60,49
2025-05-29T12:17:40.000000Z,2025-05-29T12:17:41.461572Z,1100,60,49
2025-05-29T12:17:41.000000Z,2025-05-29T12:17:43.402508Z,1100,60,49
2025-05-29T12:17:42.000000Z,2025-05-29T12:17:43.870299Z,1100,60,49
2025-05-29T12:17:43.000000Z,2025-05-29T12:17:44.307528Z,1100,60,49
2025-05-29T12:17:44.000000Z,2025-05-29T12:17:45.415588Z,1140,60,49
2025-05-29T12:17:45.000000Z,2025-05-29T12:17:46.881030Z,1140,60,49
2025-05-29T12:17:46.000000Z,2025-05-29T12:17:47.281820Z,1200,60,49
2025-05-29T12:17:47.000000Z,2025-05-29T12:17:48.408356Z,1200,60,49
2025-05-29T12:17:47.010000Z,2025-05-29T12:17:48.901099Z,1200,60,49
2025-05-29T12:17:48.000000Z,2025-05-29T12:17:49.251833Z,1200,60,49
2025-05-29T12:17:49.000000Z,2025-05-29T12:17:50.412073Z,1200,73,49
2025-05-29T12:17:50.000000Z,2025-05-29T12:17:51.371439Z,1200,73,49
2025-05-29T12:17:51.000000Z,2025-05-29T12:17:52.339965Z,1200,73,49
2025-05-29T12:17:52.000000Z,2025-05-29T12:17:53.388728Z,1200,64,49
2025-05-29T12:17:53.000000Z,2025-05-29T12:17:54.926823Z,1200,64,49
2025-05-29T12:17:54.000000Z,2025-05-29T12:17:55.362898Z,1200,34,49
2025-05-29T12:17:55.000000Z,2025-05-29T12:17:56.375082Z,1200,34,49
2025-05-29T12:17:56.000000Z,2025-05-29T12:17:57.369161Z,1200,34,49
2025-05-29T12:17:57.000000Z,2025-05-29T12:17:58.549181Z,1200,33,49
2025-05-29T12:17:58.000000Z,2025-05-29T12:17:59.442211Z,1200,33,49
2025-05-29T12:17:59.000000Z,2025-05-29T12:18:01.414589Z,1200,33,49
2025-05-29T12:18:00.000000Z,2025-05-29T12:18:04.802348Z,1200,33,49
2025-05-29T12:18:01.000000Z,2025-05-29T12:18:05.370776Z,1200,33,49
2025-05-29T12:18:02.000000Z,2025-05-29T12:18:06.245841Z,1200,33,49
2025-05-29T12:18:03.000000Z,2025-05-29T12:18:06.635806Z,1200,33,49
2025-05-29T12:18:04.000000Z,2025-05-29T12:18:07.120806Z,1200,33,49
2025-05-29T12:18:05.000000Z,2025-05-29T12:18:07.461302Z,1200,33,49
2025-05-29T12:18:06.000000Z,2025-05-29T12:18:07.925395Z,1200,33,49
2025-05-29T12:18:07.000000Z,2025-05-29T12:18:08.370798Z,1200,33,49
2025-05-29T12:18:08.000000Z,2025-05-29T12:18:09.138573Z,1200,33,49
2025-05-29T12:18:09.000000Z,2025-05-29T12:18:10.374298Z,1200,33,49
2025-05-29T12:18:10.000000Z,2025-05-29T12:18:11.423771Z,1200,33,49
2025-05-29T12:18:11.000000Z,2025-05-29T12:18:12.344958Z,1200,33,49
2025-05-29T12:18:12.000000Z,2025-05-29T12:18:13.283562Z,1200,33,49
2025-05-29T12:18:13.000000Z,2025-05-29T12:18:14.336492Z,1200,33,49
2025-05-29T12:18:14.000000Z,2025-05-29T12:18:15.787472Z,1200,33,49
2025-05-29T12:18:15.000000Z,2025-05-29T12:18:16.233495Z,1200,33,49
2025-05-29T12:18:16.000000Z,2025-05-29T12:18:17.311073Z,1200,33,49
2025-05-29T12:18:17.000000Z,2025-05-29T12:18:18.311335Z,1200,33,49
2025-05-29T12:18:18.000000Z,2025-05-29T12:18:19.412485Z,1200,33,49
2025-05-29T12:18:19.000000Z,2025-05-29T12:18:22.379152Z,1200,33,49
2025-05-29T12:18:20.000000Z,2025-05-29T12:18:22.795473Z,1200,33,49
2025-05-29T12:18:21.000000Z,2025-05-29T12:18:23.187791Z,1200,33,49
2025-05-29T12:18:22.000000Z,2025-05-29T12:18:23.619898Z,1200,33,49
2025-05-29T12:18:23.000000Z,2025-05-29T12:18:24.265283Z,1200,33,49
2025-05-29T12:18:24.000000Z,2025-05-29T12:18:25.556442Z,1200,33,49
2025-05-29T12:18:25.000000Z,2025-05-29T12:18:26.066578Z,1200,33,49
2025-05-29T12:18:26.000000Z,2025-05-29T12:18:27.430900Z,1200,33,49
2025-05-29T12:18:27.000000Z,2025-05-29T12:18:28.321451Z,1200,33,49
2025-05-29T12:18:28.000000Z,2025-05-29T12:18:29.530839Z,1200,33,49
2025-05-29T12:18:28.010000Z,2025-05-29T12:18:31.294974Z,1200,33,49
2025-05-29T12:18:29.000000Z,2025-05-29T12:18:31.845599Z,1200,33,49
2025-05-29T12:18:30.000000Z,2025-05-29T12:18:32.233247Z,1200,33,49
2025-05-29T12:18:31.000000Z,2025-05-29T12:18:32.742225Z,1200,33,49
2025-05-29T12:18:32.000000Z,2025-05-29T12:18:33.169540Z,1200,33,49
2025-05-29T12:18:33.000000Z,2025-05-29T12:18:34.446885Z,1200,33,49
2025-05-29T12:18:34.000000Z,2025-05-29T12:18:35.312168Z,1200,33,49
2025-05-29T12:18:35.000000Z,2025-05-29T12:18:36.304728Z,1200,33,49
2025-05-29T12:18:36.000000Z,2025-05-29T12:18:37.344064Z,1200,33,49
2025-05-29T12:18:37.000000Z,2025-05-29T12:18:38.314283Z,1200,33,49
2025-05-29T12:18:38.000000Z,2025-05-29T12:18:43.110426Z,1200,33,49
2025-05-29T12:18:39.000000Z,2025-05-29T12:18:43.468417Z,1200,33,49
2025-05-29T12:18:40.000000Z,2025-05-29T12:18:43.874333Z,1200,33,49
2025-05-29T12:18:41.000000Z,2025-05-29T12:18:44.245122Z,1200,33,49
2025-05-29T12:18:42.000000Z,2025-05-29T12:18:44.574145Z,1200,33,49
2025-05-29T12:18:43.000000Z,2025-05-29T12:18:45.567724Z,1200,33,49
2025-05-29T12:18:44.000000Z,2025-05-29T12:18:46.027138Z,1200,33,49
2025-05-29T12:18:45.000000Z,2025-05-29T12:18:46.401080Z,1200,33,49
2025-05-29T12:18:46.000000Z,2025-05-29T12:18:47.374478Z,1200,33,49
2025-05-29T12:18:47.000000Z,2025-05-29T12:18:48.307193Z,1200,33,49
2025-05-29T12:18:48.000000Z,2025-05-29T12:18:49.325743Z,1200,33,49
2025-05-29T12:18:49.000000Z,2025-05-29T12:18:50.343357Z,1200,33,49
2025-05-29T12:18:50.000000Z,2025-05-29T12:18:51.366014Z,1200,33,49
2025-05-29T12:18:51.000000Z,2025-05-29T12:18:52.380111Z,1200,33,49
2025-05-29T12:18:52.000000Z,2025-05-29T12:18:53.325564Z,1200,33,49
2025-05-29T12:18:53.000000Z,2025-05-29T12:18:54.312352Z,1200,33,49
2025-05-29T12:18:54.000000Z,2025-05-29T12:18:55.306924Z,1200,33,49
2025-05-29T12:18:55.000000Z,2025-05-29T12:18:56.330019Z,1200,33,49
2025-05-29T12:18:56.000000Z,2025-05-29T12:18:59.299002Z,1200,33,49
2025-05-29T12:18:57.000000Z,2025-05-29T12:19:00.281881Z,1200,33,49
2025-05-29T12:18:58.000000Z,2025-05-29T12:19:01.232710Z,1200,33,49
2025-05-29T12:18:59.000000Z,2025-05-29T12:19:01.585918Z,1200,33,49
2025-05-29T12:19:00.000000Z,2025-05-29T12:19:02.047146Z,1200,33,49
2025-05-29T12:19:01.000000Z,2025-05-29T12:19:02.466971Z,1200,33,49
2025-05-29T12:19:02.000000Z,2025-05-29T12:19:03.446445Z,1200,33,49
2025-05-29T12:19:03.000000Z,2025-05-29T12:19:04.813895Z,1200,33,49
2025-05-29T12:19:04.000000Z,2025-05-29T12:19:05.204797Z,1200,33,49
2025-05-29T12:19:05.000000Z,2025-05-29T12:19:06.352114Z,1200,33,49
2025-05-29T12:19:06.000000Z,2025-05-29T12:19:07.284523Z,1200,33,49
2025-05-29T12:19:07.000000Z,2025-05-29T12:19:08.315379Z,1200,33,49
2025-05-29T12:19:08.000000Z,2025-05-29T12:19:09.284989Z,1200,33,49
2025-05-29T12:19:09.000000Z,2025-05-29T12:19:10.287743Z,1200,33,49
2025-05-29T12:19:10.000000Z,2025-05-29T12:19:11.365880Z,1200,33,49
2025-05-29T12:19:11.000000Z,2025-05-29T12:19:12.300456Z,1200,33,49
2025-05-29T12:19:12.000000Z,2025-05-29T12:19:13.392394Z,1200,33,49
2025-05-29T12:19:13.000000Z,2025-05-29T12:19:14.308199Z,1200,33,49
2025-05-29T12:19:14.000000Z,2025-05-29T12:19:15.301656Z,1200,33,49
2025-05-29T12:19:15.000000Z,2025-05-29T12:19:19.624532Z,1200,33,49
2025-05-29T12:19:16.000000Z,2025-05-29T12:19:20.122950Z,1200,33,49
2025-05-29T12:19:17.000000Z,2025-05-29T12:19:20.443405Z,1200,33,49
2025-05-29T12:19:18.000000Z,2025-05-29T12:19:20.902628Z,1200,33,49
2025-05-29T12:19:19.000000Z,2025-05-29T12:19:21.274601Z,1200,33,49
2025-05-29T12:19:20.000000Z,2025-05-29T12:19:21.908959Z,1200,33,49
2025-05-29T12:19:21.000000Z,2025-05-29T12:19:22.327579Z,1200,33,49
2025-05-29T12:19:22.000000Z,2025-05-29T12:19:23.413217Z,1200,33,49
2025-05-29T12:19:23.000000Z,2025-05-29T12:19:24.375358Z,1200,33,49
2025-05-29T12:19:24.000000Z,2025-05-29T12:19:25.392756Z,1200,33,49
2025-05-29T12:19:25.000000Z,2025-05-29T12:19:26.515796Z,1200,33,49
2025-05-29T12:19:26.000000Z,2025-05-29T12:19:27.582842Z,1200,33,49
2025-05-29T12:19:27.000000Z,2025-05-29T12:19:28.646817Z,1200,33,49
2025-05-29T12:19:28.000000Z,2025-05-29T12:19:29.301483Z,1200,33,49
2025-05-29T12:19:29.000000Z,2025-05-29T12:19:30.339488Z,1200,33,49
2025-05-29T12:19:30.000000Z,2025-05-29T12:19:31.341220Z,1200,33,49
2025-05-29T12:19:31.000000Z,2025-05-29T12:19:32.468377Z,1200,33,49
2025-05-29T12:19:32.000000Z,2025-05-29T12:19:33.473685Z,1200,33,49
2025-05-29T12:19:33.000000Z,2025-05-29T12:19:34.404536Z,1200,33,49
2025-05-29T12:19:34.000000Z,2025-05-29T12:19:37.440150Z,1200,33,49
2025-05-29T12:19:35.000000Z,2025-05-29T12:19:37.961645Z,1200,33,49
2025-05-29T12:19:36.000000Z,2025-05-29T12:19:38.422458Z,1200,33,49
2025-05-29T12:19:37.000000Z,2025-05-29T12:19:38.902402Z,1200,33,49
2025-05-29T12:19:38.000000Z,2025-05-29T12:19:39.299318Z,1200,33,49
2025-05-29T12:19:39.000000Z,2025-05-29T12:19:40.365620Z,1200,33,49
2025-05-29T12:19:40.000000Z,2025-05-29T12:19:41.363275Z,1200,33,49
2025-05-29T12:19:41.000000Z,2025-05-29T12:19:42.385397Z,1200,33,49
2025-05-29T12:19:42.000000Z,2025-05-29T12:19:43.476021Z,1200,33,49
2025-05-29T12:19:43.000000Z,2025-05-29T12:19:44.392444Z,1200,33,49
2025-05-29T12:19:44.000000Z,2025-05-29T12:19:45.327752Z,1200,33,49
2025-05-29T12:19:45.000000Z,2025-05-29T12:19:46.363350Z,1200,33,49
2025-05-29T12:19:46.000000Z,2025-05-29T12:19:47.356447Z,1200,33,49
2025-05-29T12:19:47.000000Z,2025-05-29T12:19:49.036255Z,1200,33,49
2025-05-29T12:19:47.010000Z,2025-05-29T12:19:49.352013Z,1200,33,49
2025-05-29T12:19:48.000000Z,2025-05-29T12:19:49.854428Z,1200,33,49
2025-05-29T12:19:49.000000Z,2025-05-29T12:19:50.238466Z,1200,33,49
2025-05-29T12:19:50.000000Z,2025-05-29T12:19:51.323013Z,1200,33,49
2025-05-29T12:19:51.000000Z,2025-05-29T12:19:52.348603Z,1200,33,49
2025-05-29T12:19:52.000000Z,2025-05-29T12:19:53.391509Z,1200,33,49
2025-05-29T12:19:53.000000Z,2025-05-29T12:19:56.246323Z,1200,33,49
2025-05-29T12:19:54.000000Z,2025-05-29T12:19:56.611694Z,1200,33,49
2025-05-29T12:19:55.000000Z,2025-05-29T12:19:57.495354Z,1200,33,49
2025-05-29T12:19:56.000000Z,2025-05-29T12:19:58.081124Z,1200,33,49
2025-05-29T12:19:57.000000Z,2025-05-29T12:19:58.484857Z,1200,33,49
2025-05-29T12:19:58.000000Z,2025-05-29T12:19:59.504045Z,1200,33,49
2025-05-29T12:19:59.000000Z,2025-05-29T12:20:00.372109Z,1200,33,49
2025-05-29T12:20:00.000000Z,2025-05-29T12:20:01.284756Z,1200,33,49
2025-05-29T12:20:01.000000Z,2025-05-29T12:20:03.256045Z,1200,33,49
2025-05-29T12:20:02.000000Z,2025-05-29T12:20:04.035956Z,1200,33,49
2025-05-29T12:20:03.000000Z,2025-05-29T12:20:04.424179Z,1200,33,49
2025-05-29T12:20:04.000000Z,2025-05-29T12:20:05.265586Z,1200,33,49
2025-05-29T12:20:05.000000Z,2025-05-29T12:20:06.294261Z,1200,33,49
2025-05-29T12:20:06.000000Z,2025-05-29T12:20:07.264256Z,1200,33,49
2025-05-29T12:20:07.000000Z,2025-05-29T12:20:08.390403Z,1200,33,49
2025-05-29T12:20:08.000000Z,2025-05-29T12:20:09.378347Z,1200,33,49
2025-05-29T12:20:09.000000Z,2025-05-29T12:20:10.355104Z,1200,33,49
2025-05-29T12:20:10.000000Z,2025-05-29T12:20:11.357928Z,1200,33,49
2025-05-29T12:20:11.000000Z,2025-05-29T12:20:14.571823Z,1200,33,49
2025-05-29T12:20:12.000000Z,2025-05-29T12:20:15.058409Z,1200,33,49
2025-05-29T12:20:13.000000Z,2025-05-29T12:20:15.413492Z,1200,33,49
2025-05-29T12:20:14.000000Z,2025-05-29T12:20:15.874042Z,1200,33,49
2025-05-29T12:20:15.000000Z,2025-05-29T12:20:16.295945Z,1200,33,49
2025-05-29T12:20:16.000000Z,2025-05-29T12:20:17.272858Z,1200,33,49
2025-05-29T12:20:17.000000Z,2025-05-29T12:20:19.129922Z,1200,33,49
2025-05-29T12:20:18.000000Z,2025-05-29T12:20:19.483267Z,1200,33,49
2025-05-29T12:20:19.000000Z,2025-05-29T12:20:20.394038Z,1200,33,49
2025-05-29T12:20:20.000000Z,2025-05-29T12:20:21.343822Z,1200,33,49
2025-05-29T12:20:21.000000Z,2025-05-29T12:20:22.361018Z,1200,33,49
2025-05-29T12:20:22.000000Z,2025-05-29T12:20:23.345474Z,1200,33,49
2025-05-29T12:20:23.000000Z,2025-05-29T12:20:24.456776Z,1200,33,49
2025-05-29T12:20:24.000000Z,2025-05-29T12:20:25.363857Z,1200,33,49
2025-05-29T12:20:25.000000Z,2025-05-29T12:20:26.389290Z,1200,33,49
2025-05-29T12:20:26.000000Z,2025-05-29T12:20:27.376155Z,1200,33,49
2025-05-29T12:20:27.000000Z,2025-05-29T12:20:28.317120Z,1200,33,49
2025-05-29T12:20:28.000000Z,2025-05-29T12:20:29.570068Z,1200,33,49
2025-05-29T12:20:28.010000Z,2025-05-29T12:20:33.984224Z,1200,33,49
2025-05-29T12:20:29.000000Z,2025-05-29T12:20:34.443594Z,1200,33,49
2025-05-29T12:20:30.000000Z,2025-05-29T12:20:34.899563Z,1200,33,49
2025-05-29T12:20:31.000000Z,2025-05-29T12:20:35.233818Z,1200,33,49
2025-05-29T12:20:32.000000Z,2025-05-29T12:20:35.621067Z,1200,33,49
2025-05-29T12:20:33.000000Z,2025-05-29T12:20:36.488816Z,1200,33,49
2025-05-29T12:20:34.000000Z,2025-05-29T12:20:36.933750Z,1200,33,49
2025-05-29T12:20:35.000000Z,2025-05-29T12:20:37.294750Z,1200,33,49
2025-05-29T12:20:36.000000Z,2025-05-29T12:20:37.753983Z,1200,33,49
2025-05-29T12:20:37.000000Z,2025-05-29T12:20:38.164936Z,1200,33,49
2025-05-29T12:20:38.000000Z,2025-05-29T12:20:39.558393Z,1200,33,49
2025-05-29T12:20:39.000000Z,2025-05-29T12:20:40.425036Z,1200,33,49
2025-05-29T12:20:40.000000Z,2025-05-29T12:20:41.353293Z,1200,33,49
2025-05-29T12:20:41.000000Z,2025-05-29T12:20:42.330926Z,1200,33,49
2025-05-29T12:20:42.000000Z,2025-05-29T12:20:43.352557Z,1200,33,49
2025-05-29T12:20:43.000000Z,2025-05-29T12:20:44.496917Z,1200,33,49
2025-05-29T12:20:44.000000Z,2025-05-29T12:20:45.414133Z,1200,33,49
