ts_recorded,ts_uploaded,obd_rpm,obd_speed,obd_engine_load
2025-05-28T13:49:19.000000Z,2025-05-28T13:50:25.000556Z,0,0,0
2025-05-28T13:49:21.000000Z,2025-05-28T13:50:25.054167Z,0,0,0
2025-05-28T13:49:41.000000Z,2025-05-28T13:50:25.364284Z,0,0,0
2025-05-28T13:50:01.000000Z,2025-05-28T13:50:25.789449Z,0,0,0
2025-05-28T13:50:31.000000Z,2025-05-28T13:50:31.935694Z,0,0,0
2025-05-28T13:51:01.000000Z,2025-05-28T13:51:01.923637Z,0,0,0
2025-05-28T13:51:31.000000Z,2025-05-28T13:51:32.384093Z,0,0,0
2025-05-28T13:52:01.000000Z,2025-05-28T13:52:02.302202Z,0,0,0
2025-05-28T13:52:31.000000Z,2025-05-28T13:52:31.938458Z,0,0,0
2025-05-28T14:46:44.000000Z,2025-05-28T14:46:50.090792Z,1100,60,49
2025-05-28T14:46:46.000000Z,2025-05-28T14:46:50.486914Z,1100,60,49
2025-05-28T14:46:58.000000Z,2025-05-28T14:47:01.368305Z,1100,60,49
2025-05-28T14:47:28.000000Z,2025-05-28T14:47:30.952339Z,1100,60,49
2025-05-28T14:47:58.000000Z,2025-05-28T14:48:00.376555Z,1100,60,49
2025-05-28T14:48:18.000000Z,2025-05-28T14:48:25.786635Z,1100,60,49
2025-05-28T14:48:28.000000Z,2025-05-28T14:48:39.365157Z,1100,60,49
2025-05-28T14:48:38.000000Z,2025-05-28T14:48:39.723939Z,1100,60,49
2025-05-28T14:48:48.000000Z,2025-05-28T14:49:11.226868Z,1100,60,49
2025-05-28T14:49:09.000000Z,2025-05-28T14:49:12.467694Z,1100,60,49
2025-05-28T14:49:39.000000Z,2025-05-28T14:49:49.431040Z,1100,60,49
2025-05-28T14:49:48.000000Z,2025-05-28T14:49:49.788892Z,1100,60,49
2025-05-28T14:50:08.000000Z,2025-05-28T14:50:40.621020Z,1100,60,49
2025-05-28T14:50:39.000000Z,2025-05-28T14:50:40.974418Z,1100,60,49
2025-05-28T14:50:49.000000Z,2025-05-28T14:51:50.462943Z,1100,60,49
2025-05-28T14:51:48.000000Z,2025-05-28T14:51:50.830706Z,1100,60,49
2025-05-28T14:52:39.000000Z,2025-05-28T14:53:51.214485Z,1100,60,49
2025-05-28T14:53:49.000000Z,2025-05-28T14:53:53.822442Z,1215,0,3
2025-05-28T14:54:39.000000Z,2025-05-28T14:54:51.228143Z,1299,5,5
2025-05-28T14:54:49.000000Z,2025-05-28T14:54:53.005472Z,1327,7,5
2025-05-28T14:55:49.000000Z,2025-05-28T14:56:50.966371Z,1439,13,7
2025-05-28T14:56:49.000000Z,2025-05-28T14:56:52.774172Z,1552,19,9
2025-05-28T14:57:59.000000Z,2025-05-28T14:59:11.608233Z,1678,26,10
2025-05-28T14:59:09.000000Z,2025-05-28T14:59:13.282428Z,1100,60,49
2025-05-28T15:00:19.000000Z,2025-05-28T15:01:53.027998Z,1313,6,5
2025-05-28T15:01:50.000000Z,2025-05-28T15:01:55.820767Z,1481,15,7
2025-05-28T15:03:20.000000Z,2025-05-28T15:05:12.655708Z,1650,25,10
2025-05-28T15:05:10.000000Z,2025-05-28T15:05:15.096549Z,1846,35,13
2025-05-28T15:08:50.000000Z,2025-05-28T15:11:12.956770Z,1100,60,49
2025-05-28T15:11:11.000000Z,2025-05-28T15:11:13.337151Z,1100,60,49
2025-05-28T15:11:41.000000Z,2025-05-28T15:12:13.898712Z,1100,60,49
2025-05-28T15:12:11.000000Z,2025-05-28T15:12:14.282084Z,1100,60,49
2025-05-28T15:13:31.000000Z,2025-05-28T15:28:14.303006Z,1100,60,49
2025-05-28T15:15:31.000000Z,2025-05-28T15:28:14.672366Z,1100,60,49
2025-05-28T16:01:06.000000Z,2025-05-28T16:01:09.518045Z,0,0,0
2025-05-28T16:01:26.000000Z,2025-05-28T16:18:19.932794Z,0,0,0
2025-05-28T16:01:56.000000Z,2025-05-28T16:18:20.598932Z,0,0,0
2025-05-28T16:02:46.000000Z,2025-05-28T16:18:20.878689Z,0,0,0
2025-05-28T16:03:46.000000Z,2025-05-28T16:18:21.204067Z,0,0,0
2025-05-28T16:04:46.000000Z,2025-05-28T16:18:21.540546Z,1285,4,5
2025-05-28T16:09:46.000000Z,2025-05-28T16:18:21.862629Z,1831,35,13
2025-05-28T16:14:46.000000Z,2025-05-28T16:18:22.189465Z,2392,66,21
2025-05-28T16:14:48.000000Z,2025-05-28T16:18:22.559554Z,2392,66,21
2025-05-28T16:15:18.000000Z,2025-05-28T16:18:23.002395Z,2448,69,22
2025-05-28T16:20:18.000000Z,2025-05-28T16:20:19.408268Z,1288,4,5
2025-05-28T16:23:49.000000Z,2025-05-28T16:23:51.214060Z,1666,25,10
2025-05-28T16:24:19.000000Z,2025-05-28T16:24:21.605235Z,1722,29,11
2025-05-28T16:25:49.000000Z,2025-05-28T16:25:52.121821Z,1890,38,14
2025-05-28T16:26:19.000000Z,2025-05-28T16:26:21.836577Z,1947,41,14
2025-05-28T16:31:19.000000Z,2025-05-28T16:31:21.284679Z,2507,72,23
2025-05-28T16:36:19.000000Z,2025-05-28T16:36:21.388543Z,1496,16,8
2025-05-28T16:41:19.000000Z,2025-05-28T16:41:21.492440Z,2057,47,16
2025-05-28T16:41:21.000000Z,2025-05-28T16:41:23.444998Z,2057,47,16
2025-05-28T16:41:51.000000Z,2025-05-28T16:41:52.663862Z,2113,50,17
2025-05-28T16:46:51.000000Z,2025-05-28T16:46:52.310187Z,1100,60,0
