ts_recorded,ts_uploaded,obd_rpm,obd_speed,obd_engine_load
2025-05-26T20:00:00.000000Z,2025-05-26T20:11:19.708739Z,1100.0,,
2025-05-26T20:00:01.000000Z,2025-05-26T20:11:23.327332Z,1100.0,,
2025-05-26T20:00:02.000000Z,2025-05-26T20:11:24.270870Z,1100.0,,
2025-05-26T20:00:03.000000Z,2025-05-26T20:11:24.759676Z,1100.0,,
2025-05-26T20:00:04.000000Z,2025-05-26T20:11:25.174022Z,1100.0,,
2025-05-26T20:00:05.000000Z,2025-05-26T20:11:25.601005Z,1100.0,,
2025-05-26T20:00:06.000000Z,2025-05-26T20:11:25.988850Z,1100.0,,
2025-05-26T20:00:07.000000Z,2025-05-26T20:11:26.350966Z,1100.0,,
2025-05-26T20:00:08.000000Z,2025-05-26T20:11:26.931999Z,1100.0,,
2025-05-26T20:00:09.000000Z,2025-05-26T20:11:27.302638Z,1100.0,,
2025-05-26T20:00:10.000000Z,2025-05-26T20:11:27.817086Z,1100.0,,
2025-05-26T20:00:11.000000Z,2025-05-26T20:11:28.141896Z,1100.0,,
2025-05-26T20:00:12.000000Z,2025-05-26T20:11:28.597504Z,1100.0,,
2025-05-26T20:00:13.000000Z,2025-05-26T20:11:29.041266Z,1100.0,,
2025-05-26T20:00:14.000000Z,2025-05-26T20:11:29.440593Z,1100.0,,
2025-05-26T20:00:15.000000Z,2025-05-26T20:11:31.938348Z,1100.0,,
2025-05-26T20:00:16.000000Z,2025-05-26T20:11:35.893832Z,1100.0,,
2025-05-26T20:00:17.000000Z,2025-05-26T20:11:36.852624Z,1100.0,,
2025-05-26T20:00:18.000000Z,2025-05-26T20:11:37.241167Z,1100.0,,
2025-05-26T20:00:19.000000Z,2025-05-26T20:11:37.715810Z,1100.0,,
2025-05-26T20:00:20.000000Z,2025-05-26T20:11:38.077799Z,1100.0,,
2025-05-26T20:00:21.000000Z,2025-05-26T20:11:38.468493Z,1100.0,,
2025-05-26T20:00:22.000000Z,2025-05-26T20:11:38.953731Z,1100.0,,
2025-05-26T20:00:23.000000Z,2025-05-26T20:11:39.308775Z,1100.0,,
2025-05-26T20:00:24.000000Z,2025-05-26T20:11:39.875966Z,1100.0,,
2025-05-26T20:00:25.000000Z,2025-05-26T20:11:40.438807Z,1100.0,,
2025-05-26T20:00:26.000000Z,2025-05-26T20:11:40.936055Z,1100.0,,
2025-05-26T20:00:27.000000Z,2025-05-26T20:11:41.326950Z,1100.0,,
2025-05-26T20:00:28.000000Z,2025-05-26T20:11:41.808007Z,1100.0,,
2025-05-26T20:00:29.000000Z,2025-05-26T20:11:42.211323Z,1100.0,,
2025-05-26T20:00:30.000000Z,2025-05-26T20:11:42.645547Z,1100.0,,
2025-05-26T20:00:31.000000Z,2025-05-26T20:11:43.029116Z,1100.0,,
2025-05-26T20:00:32.000000Z,2025-05-26T20:11:43.402537Z,1100.0,,
2025-05-26T20:00:33.000000Z,2025-05-26T20:11:44.318669Z,1100.0,,
2025-05-26T20:00:34.000000Z,2025-05-26T20:11:44.790795Z,1100.0,,
