ts_recorded,ts_uploaded,obd_rpm,obd_speed,obd_engine_load
2025-05-27T12:22:40.000000Z,2025-05-27T12:53:14.773131Z,1616,23,10
2025-05-27T12:27:40.000000Z,2025-05-27T12:53:15.168250Z,2176,54,18
2025-05-27T12:32:40.000000Z,2025-05-27T12:53:15.513534Z,1110,60,49
2025-05-27T12:33:06.000000Z,2025-05-27T12:53:15.898456Z,1110,60,49
2025-05-27T12:33:07.000000Z,2025-05-27T12:53:16.352543Z,1110,60,49
2025-05-27T12:33:08.000000Z,2025-05-27T12:53:16.695332Z,1110,60,49
2025-05-27T12:33:09.000000Z,2025-05-27T12:53:17.071060Z,1110,60,49
2025-05-27T12:33:10.000000Z,2025-05-27T12:53:17.430657Z,1110,60,49
2025-05-27T12:33:11.000000Z,2025-05-27T12:53:18.204544Z,1110,60,49
2025-05-27T12:33:12.000000Z,2025-05-27T12:53:18.588152Z,1110,60,49
2025-05-27T12:33:13.000000Z,2025-05-27T12:53:18.954782Z,1110,60,49
2025-05-27T12:33:14.000000Z,2025-05-27T12:53:19.338665Z,1110,60,49
2025-05-27T12:33:15.000000Z,2025-05-27T12:53:19.781259Z,1110,60,49
2025-05-27T12:33:16.000000Z,2025-05-27T12:53:20.158049Z,1110,60,49
2025-05-27T12:33:17.000000Z,2025-05-27T12:53:20.509286Z,1110,60,49
2025-05-27T12:33:18.000000Z,2025-05-27T12:53:20.908744Z,1110,60,49
2025-05-27T12:33:19.000000Z,2025-05-27T12:53:21.351564Z,1110,60,49
2025-05-27T12:33:20.000000Z,2025-05-27T12:53:21.703668Z,1110,60,49
2025-05-27T12:33:21.000000Z,2025-05-27T12:53:22.044919Z,1110,60,49
2025-05-27T12:33:22.000000Z,2025-05-27T12:53:22.382795Z,1110,60,49
2025-05-27T12:33:23.000000Z,2025-05-27T12:53:22.714424Z,1110,60,49
2025-05-27T12:33:24.000000Z,2025-05-27T12:53:23.102571Z,1110,60,49
2025-05-27T12:33:25.000000Z,2025-05-27T12:53:23.444283Z,1110,60,49
2025-05-27T12:33:26.000000Z,2025-05-27T12:53:23.785432Z,1110,60,49
2025-05-27T12:33:27.000000Z,2025-05-27T12:53:24.177500Z,1110,60,49
2025-05-27T12:33:28.000000Z,2025-05-27T12:53:24.509278Z,1110,60,49
2025-05-27T12:33:29.000000Z,2025-05-27T12:53:24.964499Z,1110,60,49
2025-05-27T12:33:30.000000Z,2025-05-27T12:53:26.752254Z,1110,60,49
2025-05-27T12:33:31.000000Z,2025-05-27T12:53:27.540358Z,1110,60,49
2025-05-27T12:33:32.000000Z,2025-05-27T12:53:27.901412Z,1110,60,49
2025-05-27T12:33:33.000000Z,2025-05-27T12:53:28.265685Z,1110,60,49
2025-05-27T12:33:34.000000Z,2025-05-27T12:53:28.661337Z,1110,60,49
2025-05-27T12:33:35.000000Z,2025-05-27T12:53:29.013285Z,1110,60,49
2025-05-27T12:33:36.000000Z,2025-05-27T12:53:29.499455Z,1110,60,49
2025-05-27T12:33:37.000000Z,2025-05-27T12:53:30.035944Z,1110,60,49
2025-05-27T12:33:38.000000Z,2025-05-27T12:53:30.394604Z,1110,60,49
2025-05-27T12:33:39.000000Z,2025-05-27T12:53:30.765878Z,1110,60,49
2025-05-27T12:33:40.000000Z,2025-05-27T12:53:31.176333Z,1110,60,49
2025-05-27T12:33:41.000000Z,2025-05-27T12:53:32.570874Z,1110,60,49
2025-05-27T12:33:42.000000Z,2025-05-27T12:53:32.980950Z,1110,60,49
2025-05-27T12:33:43.000000Z,2025-05-27T12:53:33.532707Z,1110,60,49
2025-05-27T12:33:44.000000Z,2025-05-27T12:53:33.684109Z,1110,60,49
2025-05-27T12:33:45.000000Z,2025-05-27T12:53:34.011446Z,1110,60,49
2025-05-27T12:33:46.000000Z,2025-05-27T12:53:34.351094Z,1110,60,49
2025-05-27T12:33:47.000000Z,2025-05-27T12:53:34.702471Z,1110,60,49
2025-05-27T12:33:48.000000Z,2025-05-27T12:53:35.172286Z,1110,60,49
2025-05-27T12:33:49.000000Z,2025-05-27T12:53:35.516940Z,1110,60,49
2025-05-27T12:33:50.000000Z,2025-05-27T12:53:35.842805Z,1110,60,49
2025-05-27T12:33:51.000000Z,2025-05-27T12:53:36.261166Z,1110,60,49
2025-05-27T12:33:52.000000Z,2025-05-27T12:53:36.737135Z,1110,60,49
2025-05-27T12:33:53.000000Z,2025-05-27T12:53:37.152611Z,1110,60,49
2025-05-27T12:33:54.000000Z,2025-05-27T12:53:37.523110Z,1110,60,49
2025-05-27T12:33:55.000000Z,2025-05-27T12:53:37.868084Z,1110,60,49
2025-05-27T12:33:56.000000Z,2025-05-27T12:53:38.229420Z,1110,60,49
2025-05-27T12:33:57.000000Z,2025-05-27T12:53:39.764956Z,1110,60,49
2025-05-27T12:33:58.000000Z,2025-05-27T12:53:40.194964Z,1110,60,49
2025-05-27T12:33:59.000000Z,2025-05-27T12:53:40.533459Z,1110,60,49
2025-05-27T12:34:00.000000Z,2025-05-27T12:53:40.921644Z,1110,60,49
2025-05-27T12:34:01.000000Z,2025-05-27T12:53:41.265621Z,1110,60,49
2025-05-27T12:34:02.000000Z,2025-05-27T12:53:41.611766Z,1110,60,49
2025-05-27T12:34:03.000000Z,2025-05-27T12:53:41.991653Z,1110,60,49
2025-05-27T12:34:04.000000Z,2025-05-27T12:53:42.442781Z,1110,60,49
2025-05-27T12:34:05.000000Z,2025-05-27T12:53:42.974175Z,1110,60,49
2025-05-27T12:34:06.000000Z,2025-05-27T12:53:43.144516Z,1110,60,49
2025-05-27T12:34:07.000000Z,2025-05-27T12:53:43.523404Z,1110,60,49
2025-05-27T12:34:07.010000Z,2025-05-27T12:53:43.857673Z,1201,0,49
2025-05-27T12:34:07.020000Z,2025-05-27T12:53:44.241909Z,1201,0,49
2025-05-27T12:34:08.000000Z,2025-05-27T12:53:44.615848Z,1201,0,49
2025-05-27T12:34:09.000000Z,2025-05-27T12:53:45.061360Z,1201,0,49
2025-05-27T12:34:10.000000Z,2025-05-27T12:53:45.866474Z,1201,0,49
