ts_recorded,ts_uploaded,obd_rpm,obd_speed,obd_engine_load
2025-05-27T19:00:19.000000Z,2025-05-27T19:00:21.610480Z,1110,60,49
2025-05-27T19:00:49.000000Z,2025-05-27T19:00:51.646604Z,1110,60,49
2025-05-27T19:01:19.000000Z,2025-05-27T19:01:21.500187Z,1110,60,49
2025-05-27T19:01:49.000000Z,2025-05-27T19:01:51.440226Z,1110,60,49
2025-05-27T19:02:19.000000Z,2025-05-27T19:02:21.465011Z,1110,60,49
2025-05-27T19:02:49.000000Z,2025-05-27T19:02:51.167987Z,1110,60,49
2025-05-27T19:03:19.000000Z,2025-05-27T19:03:20.481784Z,1110,60,49
2025-05-27T19:03:49.000000Z,2025-05-27T19:03:51.179099Z,1110,60,49
2025-05-27T19:04:19.000000Z,2025-05-27T19:04:21.563116Z,1110,60,49
2025-05-27T19:04:49.000000Z,2025-05-27T19:04:51.538650Z,1110,60,49
2025-05-27T19:05:19.000000Z,2025-05-27T19:05:21.566762Z,1110,60,49
2025-05-27T19:05:49.000000Z,2025-05-27T19:05:51.971639Z,1110,60,49
2025-05-27T19:06:19.000000Z,2025-05-27T19:06:21.921082Z,1110,60,49
2025-05-27T19:06:49.000000Z,2025-05-27T19:06:52.545878Z,1110,60,49
2025-05-27T19:07:19.000000Z,2025-05-27T19:07:21.332434Z,1110,60,49
2025-05-27T19:07:49.000000Z,2025-05-27T19:07:51.644161Z,1110,60,49
2025-05-27T19:08:19.000000Z,2025-05-27T19:08:21.554686Z,1110,60,49
2025-05-27T19:08:49.000000Z,2025-05-27T19:08:51.434550Z,1110,60,49
2025-05-27T19:09:19.000000Z,2025-05-27T19:09:21.694034Z,1110,60,49
2025-05-27T19:09:49.000000Z,2025-05-27T19:09:51.352175Z,1110,60,49
2025-05-27T19:10:19.000000Z,2025-05-27T19:10:20.363128Z,1110,60,49
2025-05-27T19:10:49.000000Z,2025-05-27T19:10:51.723242Z,1110,60,49
2025-05-27T19:11:19.000000Z,2025-05-27T19:11:21.644707Z,1110,60,49
2025-05-27T19:11:49.000000Z,2025-05-27T19:11:51.649125Z,1110,60,49
2025-05-27T19:12:19.000000Z,2025-05-27T19:12:21.599981Z,1110,60,49
2025-05-27T19:12:49.000000Z,2025-05-27T19:12:51.575889Z,1110,60,49
